Id;Nombre;Longitud;Latitud
110;Ribera del Beiro 32;-3.607008;37.191596
111;Cno. Viejo del Fargue - Cruce Abadía;-3.571278;37.196991
112;El Pinar 5;-3.590237;37.189213
113;Cristo de la Yedra 19;-3.601632;37.187035
114;Real de Cartuja 42;-3.600009;37.186627
115;Pagés 16;-3.593081;37.183853
116;Avda. Sierra Nevada 138;-3.530816;37.157516
117;Cno. Bajo de Huétor 146;-3.586212;37.156173
118;Cuesta del Caidero 15;-3.588822;37.172538
119;Cuesta del Caidero 10;-3.588616;37.172039
120;Albondón 14;-3.6189;37.182634
121;Albondón 4;-3.616974;37.184634
122;Mecina Bombarón;-3.618941;37.181552
123;Palencia 24;-3.594703;37.159509
124;Palencia 25;-3.59487;37.159688
125;Pepita Bustamante 25;-3.590439;37.160167
126;Pepita Bustamante - CEIP García Lorca;-3.590742;37.159661
127;Paseo de Europa - Colegio García Lorca;-3.592405;37.15957
128;Paseo de Europa - Fte Colegio García Lorca;-3.592502;37.159638
129;Pedro Temboury 24;-3.609195;37.203862
130;Cno. Bajo de Huétor 70;-3.589205;37.159857
131;Cno. Bajo de Huétor 49;-3.588964;37.159711
132;Paseo Laguna Cameros - Centro Comercial;-3.58476;37.156842
133;Paseo Laguna Cameros 16 - Centro Comercial;-3.585165;37.157027
134;Jesús y María 1;-3.596612;37.174284
135;Domingo Puente Marín 4 - Rotonda Aviación;-3.602148;37.162946
136;Emperador Carlos V 16;-3.594498;37.155255
137;Emperador Carlos V 9;-3.593465;37.155359
138;Cno. Beas Fte 25;-3.571911;37.181997
139;Cno. Beas 27;-3.569816;37.181802
140;Cno. Beas Fte 28;-3.567412;37.181321
141;Cno. del Sacromonte 1- Peso de la Harina;-3.588556;37.181202
142;Cno. Beas 46;-3.564781;37.181611
143;Cno. Beas 28;-3.567328;37.181271
144;Cno. Beas 27;-3.569741;37.181759
145;Cno. Beas 25;-3.571888;37.181957
146;Paseo del Padre Manjón - Rey Chico;-3.588587;37.179192
147;Carril de los Coches 4;-3.57452;37.182137
148;Santo Sepulcro del Sacromonte 5;-3.579154;37.18158
149;Sacromonte - Carril de los Coches;-3.5753;37.181968
150;Paseo de la Sabica 38 - Parque Alixares;-3.583385;37.173016
151;Cno. Nuevo del Cementerio 19;-3.586126;37.171023
152;Cno. Nuevo del Cementerio 12;-3.587421;37.171329
153;Arco de Elvira 4;-3.599593;37.182733
154;Carril de la Lona 1;-3.597588;37.182389
155;Santa Isabel la Real;-3.595824;37.180685
156;Cno. Nuevo de San Nicolás 7;-3.594287;37.181008
157;Plaza San Nicolás;-3.593008;37.180805
158;Placeta del Abad;-3.591258;37.181847
159;Cno. del Sacromonte - Fte 39;-3.586833;37.181037
160;Cno. del Sacromonte - Fte 89;-3.583967;37.181938
161;Cno. del Sacromonte - Fte 109;-3.582001;37.181465
162;Sacromonte - Santo Sepulcro;-3.579112;37.18154
163;Cno. del Sacromonte 109;-3.581975;37.181372
164;Cno. del Sacromonte 89;-3.583912;37.181839
165;Cno. del Sacromonte 39;-3.586822;37.180985
166;Paseo del Padre Manjón - Fte 1;-3.590266;37.178767
167;Carrera del Darro 33 - Bañuelo;-3.592799;37.178316
168;Puerta de la Justicia;-3.589869;37.175838
169;Alhambra - Generalife 2;-3.585539;37.174404
170;Paseo del Generalife 4;-3.587481;37.173973
171;Julio Moreno Dávila 6;-3.602774;37.20295
172;Cuesta del Chapiz 60;-3.589388;37.182178
173;Cno. Real de los Neveros - Aixa la Horra;-3.579248;37.158066
174;Cno. Real de los Neveros 114;-3.57514;37.15635
175;Avda. Dílar 121;-3.601086;37.151672
176;Avda. América 1 - Colegio Caja Granada;-3.601041;37.162432
177;Avda. Dílar 14;-3.599883;37.159895
178;Palencia 3;-3.599073;37.160271
179;Palencia 19;-3.596049;37.159869
180;Palencia 20 - Merca 80;-3.596516;37.159755
181;Pedro Temboury 33;-3.60917;37.204149
182;Julio Moreno Dávila 19;-3.59799;37.203241
183;Avda. Dilar 33;-3.599798;37.158869
184;Paseo del Salón 11 - Plaza Carretas;-3.593552;37.169864
185;Ctra. de la Sierra 71;-3.578673;37.164665
186;Ctra. de la Sierra 87;-3.576785;37.164191
187;Ctra. de la Sierra 31;-3.584998;37.166487
188;Ctra. de la Sierra 49;-3.583095;37.16594
189;Ctra. de la Sierra 69;-3.581137;37.16536
190;Paseo de los Basilios 2 - Escolapios;-3.595175;37.168313
191;Paseo de la Bomba 17;-3.588982;37.168129
192;Paseo Cartuja 4 - Cristo de la Yedra;-3.600407;37.189088
193;Ctra. Murcia 47 - Col. Ave Mª San Cristobal;-3.595869;37.183644
194;Ctra. Murcia 55;-3.594166;37.184398
195;Ctra. Murcia 65 - Fajalauza;-3.593107;37.187172
196;Avda. Santa María Alhambra - Parking Generalife;-3.580645;37.171327
197;Avda. Cervantes 13;-3.58895;37.16527
198;Torre de Comares 8;-3.594094;37.152056
199;Tete Montoliú 16 - Fte Junta de Andalucía;-3.606389;37.198067
200;Tete Montoliú - Centro Comercial;-3.609548;37.19752
201;Plaza Realejo;-3.593977;37.173306
202;Santiago 39;-3.592602;37.17176
203;Santiago 75;-3.591094;37.170346
204;Sánchez Cotán 40;-3.603975;37.206461
205;Sánchez Cotán 7;-3.604027;37.203929
206;Sánchez Cotán 28;-3.60377;37.204519
207;Sánchez Cotán 10;-3.604232;37.20185
208;Sánchez Cotán 4;-3.604289;37.200482
209;Sagrada Familia 28;-3.625541;37.189901
210;Sagrada Familia 18 - Iglesia Santa Micaela;-3.624775;37.19122
211;Recogidas 38;-3.603335;37.171594
212;Recogidas 5;-3.600628;37.172925
213;Recogidas 2;-3.600531;37.17309
214;Recogidas 35;-3.603205;37.171515
215;Profesor Clavera - Facultad  Psicología;-3.595321;37.194104
216;Plaza Fortuny - Realejo;-3.594482;37.173698
217;Andrés Segovia 43 - Hípica;-3.594889;37.160844
218;Pintor Maldonado 42 - Nuevo los Cármenes;-3.597181;37.15237
219;El Pinar Fte 5;-3.590217;37.18956
220;Santa Escolástica 2;-3.5955;37.174609
221;Plaza Isabel la Católica 2;-3.596957;37.175642
222;Paseo del Violón;-3.599411;37.165379
223;Fernando de los Ríos - Parque Cruz de Lagos;-3.603997;37.16127
224;Parking Alhambra - Cementerio;-3.580175;37.171369
225;Emperador Carlos V - Palacio Deportes;-3.591935;37.152964
226;Pablo Picasso 33;-3.594788;37.164726
227;Plaza San Isidro;-3.603602;37.186649
228;Avda. Andalucía 18;-3.613041;37.188781
229;Arabial 22;-3.606462;37.168767
230;Arabial 4;-3.60485;37.166109
231;Paseo Cartuja - Monasterio;-3.600652;37.191814
232;Poeta Manuel de Góngora 9;-3.594945;37.166398
233;Luis de Vicente 5;-3.601863;37.199725
234;Luis de Vicente 4;-3.602245;37.199432
235;Luis Amador 7;-3.615244;37.193774
236;Luis Amador 22;-3.614964;37.193809
237;Juan Echevarría 2;-3.589679;37.159286
238;Jorge Torres 3;-3.591283;37.158476
239;Joaquina Eguaras 2 - Delegación JJAA;-3.607163;37.198598
240;Julio Moreno Dávila 3;-3.602793;37.203162
241;Julio Moreno Dávila 14;-3.599855;37.203046
242;Ctra. Murcia 210 - Haza Grande;-3.592163;37.190121
243;Gran Capitán 25 - Centro Cultural;-3.605648;37.177357
244;San Juan de Dios 7;-3.603237;37.179614
245;José María Garrido Lopera 3;-3.589489;37.158969
246;Avda. Fuente Nueva 5 - Universidad;-3.607635;37.179629
247;Francisco Pradilla - Fte 6;-3.6148;37.190417
248;Francisco Pradilla 6;-3.614523;37.190419
249;Fernando Gómez de la Cruz 59;-3.623307;37.197937
250;Plaza de Europa- José Mª Carulla;-3.622278;37.195764
251;Plaza de Europa - Avda. Maracena;-3.622052;37.196958
252;Fargue - El Retiro 2;-3.556739;37.209438
253;Fargue - El Retiro 1;-3.556571;37.209312
254;Fargue - Barriada de los Remedios;-3.557832;37.207378
255;Fargue - Barrio Nuevo 1;-3.558247;37.207105
