Source;Target;Distance (m)
392;416;24.108710857622633
416;393;306.77683896622835
393;394;378.29444757043336
394;395;212.15011611417145
395;396;300.98322870542034
396;411;211.13850723200366
411;410;242.12046291540761
410;398;333.2039154929145
398;399;357.11573910145165
399;400;435.31557354992196
400;401;466.5631236908574
401;402;242.7859118760079
402;185;1045.051316405392
185;189;284.531490198321
189;297;23.44189988328383
297;191;906.2356180363382
191;184;543.2767734495429
184;591;336.0228253722113
591;507;315.8651914774485
507;498;619.2069165176347
593;58;397.92693099542635
58;375;240.17155900352728
375;613;307.5216330823883
613;301;373.30379098697017
301;602;1082.4961421126072
602;25;425.96731265965303
25;51;575.7692846096306
51;239;278.22789068528596
239;24;438.7288568773357
24;607;511.10858957427047
607;459;596.5910567460976
459;298;251.10648854625742
298;300;212.01418161084393
300;374;438.24927659197
374;266;266.63249065453203
266;581;327.04206375668025
503;547;610.7340863238553
547;190;368.6473258697872
190;403;272.04813639107005
403;404;366.9115684627332
404;292;157.47313892858284
292;291;177.0154015044811
291;187;223.55863316208644
187;293;18.23831286738641
293;188;229.04990244122806
188;294;17.00099789147071
294;288;523.6126774418045
288;186;208.20039992514592
186;289;59.80311001122048
289;49;226.73742471122517
49;290;14.340807417699226
290;405;421.5502416506548
405;406;411.97950096115846
406;407;410.91697077674047
407;408;463.44996315035957
408;409;275.48381081709687
409;397;687.9017692576328
397;412;127.87810977530532
412;413;325.5255238898287
413;414;200.89332666518234
414;415;406.1227706401366
415;417;577.4725651027039
417;418;390.9434822463776
418;116;238.135375219385
116;490;421.23375908958064
41;167;417.08553632037604
167;166;285.9425264062287
166;146;192.4876786601691
146;45;198.38389328241288
45;172;160.7500680406953
172;158;211.06056911458558
158;44;98.41871458289661
44;157;158.26724311042042
157;156;143.9260777661972
156;155;174.551857864622
155;43;119.58540906625926
43;154;222.7202544573286
154;153;226.0896445705007
153;105;156.73408751903474
105;40;90.07018881486788
40;451;160.5827792910757
451;0;880.7684411300706
37;134;111.53910261502287
134;41;258.417701264952
0;221;136.87885737230982
221;491;13.249801219638258
491;220;189.61580446548112
220;216;151.82763019559738
216;8;310.52079477545374
8;609;244.17460880537493
609;119;257.4584051110302
119;5;255.9734088358862
5;170;194.97154396850436
170;169;221.08351938562535
169;46;310.175887602872
46;168;200.25326520329654
168;1;172.56207914805347
1;118;231.99967437139335
118;599;233.56999845008264
599;600;13.60670015708838
600;608;171.44929798009093
608;203;105.16691939544346
203;202;229.75041600868758
202;201;229.94605383624207
201;106;93.28065168509352
164;163;221.44450630623288
163;148;314.3742002262417
148;162;6.446061999930454
162;619;197.62501850429416
619;103;149.96040909417022
103;147;175.17371545967535
147;149;88.69985417266088
149;598;29.874072237841784
598;145;352.5075399258663
145;144;239.62797804981201
144;143;273.60771819115604
143;142;285.5820140378406
142;140;294.1776272100058
140;144;272.4736863119702
144;138;233.84263617644288
138;620;611.5877784864373
620;161;511.37440397920926
161;160;224.7340781894475
160;159;333.8937603386873
159;165;5.907118877826334
165;141;194.21822467866156
141;172;142.53549669343676
172;39;267.30750176695847
39;115;191.78949738875812
115;194;134.94352574507346
194;193;206.99097965925526
193;6;203.08173136434405
6;38;269.09985800068665
38;114;168.10926433178074
114;97;94.50743273788909
97;113;156.28411862158987
113;95;186.846905309992
388;451;100.27977803781992
0;41;204.31220767068152
1;119;291.1828437834536
